participant,t2.age,DOB,t2.age_Months,sex,t2.license
249,14.14647502,12/27/2004,169.7577002,M,0
392,14.12183436,1/11/2005,169.4620123,F,0
401,13,2/1/2005,166.11,F,0
419,13.60985626,3/21/2005,163.3182752,F,0
441,13.5578371,8/2/2005,162.6940452,F,0
523,13.0513347,11/22/2005,156.6160164,M,0
560,13.27310062,11/7/2005,159.2772074,F,0
584,13.66187543,8/23/2005,163.9425051,F,0
607,13.70294319,8/8/2005,164.4353183,F,0
620,13.045859,11/3/2005,156.550308,M,0
687,12.65982204,4/7/2006,151.9178645,F,0
748,12.26557153,9/1/2006,147.1868583,F,0
775,12.56947296,6/17/2006,150.8336756,M,0
778,12.678987,8/21/2006,152.1478439,F,0
819,12.82683094,1/29/2006,153.9219713,M,0
841,12.26009582,1/17/2007,147.1211499,F,0
860,12.06844627,2/18/2007,144.8213552,F,0
1000,11.17316906,12/4/2007,134.0780287,M,0
3222,16.75564682,2/10/2002,201.0677618,M,2
3229,17.07323751,2/16/2002,204.8788501,F,1
3355,15.89322382,11/27/2002,190.7186858,F,0
3356,16.54209446,8/8/2002,198.5051335,M,2
3480,15.78370979,5/15/2003,189.4045175,M,0
3643,15,2/6/2003,186.25,F,0
3675,15.21149897,12/24/2003,182.5379877,M,0
4003,14.42847365,5/12/2004,173.1416838,M,0
4085,12.06844627,1/17/2007,144.8213552,M,0
4118,13.82614648,4/5/2005,165.9137577,M,0
4290,12.82683094,6/18/2006,153.9219713,F,0
4293,15.17864476,12/26/2003,182.1437372,M,0
4822,15.49623546,8/4/2003,185.9548255,M,0
4908,17.69746749,6/19/2001,212.3696099,F,1
4952,17.26488706,11/6/2001,207.1786448,F,1
5139,12.84052019,1/6/2006,154.0862423,M,0
5140,11.15674196,9/13/2007,133.8809035,F,0
5663,18.80629706,5/20/2000,225.6755647,F,1
5839,11.56468172,8/4/2007,138.7761807,F,0
5867,12.12867899,9/27/2006,145.5441478,M,0
5869,15.70431211,2/18/2003,188.4517454,M,0
AJ,17.32511978,10/8/2001,207.9014374,M,1
AR,17,7/31/2001,205.83,M,NA
AT,19.8275154,5/20/1999,237.9301848,F,1
AU,17.47296372,10/3/2001,209.6755647,M,1
AZ,17.82888433,4/21/2001,213.9466119,F,2
BB,19.02532512,3/5/2000,228.3039014,F,1
BF,18.77344285,6/5/2000,225.2813142,F,1
BX,17.96030116,3/4/2001,215.523614,M,2
CA,17.04859685,10/5/2001,204.5831622,F,1
CR,18.32443532,8/24/2000,219.8932238,M,1
CY,18.39014374,7/28/2000,220.6817248,F,1
