participant,date,model number,building,x,y,error
249,2/19/2019 9:29,0,Tobler Museum,468,83,46.32493929
249,2/19/2019 9:29,0,Sauer Center,677,236,236.7804891
249,2/19/2019 9:29,0,Snow Church,526,413,281.7161692
249,2/19/2019 9:29,0,Golledge Hall,272,268,292.9044213
249,2/19/2019 9:29,0,Harvey House,67,459,228.4841351
249,2/19/2019 9:29,0,Harris Hall,96,56,207.5114455
249,2/19/2019 9:29,0,Batty House,74,146,134.4804819
249,2/19/2019 9:29,0,Lynch Station,43,239,119.1049957
392,2/25/2019 13:14,0,Batty House,35,490,218.1467396
392,2/25/2019 13:14,0,Lynch Station,18,314,190.0947132
392,2/25/2019 13:14,0,Golledge Hall,353,97,286.6304241
392,2/25/2019 13:14,0,Sauer Center,343,238,365.8045926
392,2/25/2019 13:14,0,Snow Church,543,88,208.8492279
392,2/25/2019 13:14,0,Tobler Museum,545,213,104.8093507
392,2/25/2019 13:14,0,Harris Hall,74,164,154.029218
392,2/25/2019 13:14,0,Harvey House,597,455,304.4815265
401,11/6/2018 12:50,0,Lynch Station,18,275,151.1191583
401,11/6/2018 12:50,0,Golledge Hall,575,342,52.17278984
401,11/6/2018 12:50,0,Sauer Center,177,11,448.0401768
401,11/6/2018 12:50,0,Snow Church,535,167,184.945938
401,11/6/2018 12:50,0,Tobler Museum,355,51,155.1934277
401,11/6/2018 12:50,0,Harvey House,95,107,427.1826307
401,11/6/2018 12:50,0,Batty House,76,465,199.1230775
401,11/6/2018 12:50,0,Harris Hall,100,206,116.7261753
419,10/30/2018 14:07,0,Batty House,620,451,619.4271547
419,10/30/2018 14:07,0,Golledge Hall,93,432,491.6523162
419,10/30/2018 14:07,0,Lynch Station,527,83,516.629461
419,10/30/2018 14:07,0,Harvey House,60,55,489.5467291
419,10/30/2018 14:07,0,Snow Church,414,312,320.3950686
419,10/30/2018 14:07,0,Harris Hall,313,38,212.0094338
419,10/30/2018 14:07,0,Sauer Center,258,195,413.266258
419,10/30/2018 14:07,0,Tobler Museum,79,206,422.4357939
441,2/22/2019 15:00,0,Batty House,73,252,50.15974482
441,2/22/2019 15:00,0,Lynch Station,91,296,189.2749323
441,2/22/2019 15:00,0,Harvey House,242,81,407.3327878
