participant,Pointing From,Target Building,Correct Ans,Pointing To,Angular Error
249,Batty,Tobler,37.30802198,12.20032,25.10770198
249,Batty,Harvey,93.19423766,21.68841,71.50582766
249,Batty,Sauer,30.3316951,1.413885,28.9178101
249,Batty,Harris,37.5286373,46.67998,9.1513427
249,Batty,Golledge,51.76768154,60.8265,9.05881846
249,Batty,Lynch,47.32798389,38.3299,8.99808389
249,Batty,Snow,48.19947553,9.708003,38.49147253
249,Lynch,Sauer,29.20903342,24.76024,4.44879342
249,Lynch,Harvey,48.19593801,55.25591,7.05997199
249,Lynch,Tobler,17.95076442,22.26087,4.31010558
249,Lynch,Harris,7.021704671,4.79379,2.227914671
249,Lynch,Batty,130.6542463,23.26193,107.3923163
249,Lynch,Golledge,3.323863738,8.77194,5.448076262
249,Lynch,Snow,8.968174613,23.76181,14.79363539
249,Harris,Tobler,99.95984558,127.2825,27.32265442
249,Harris,Golledge,77.71082192,148.2808,70.56997808
249,Harris,Lynch,114.5627943,150.7807,36.2179057
249,Harris,Snow,84.7281122,44.21812,40.5099922
249,Harris,Sauer,110.6574336,96.71681,13.9406236
249,Harris,Batty,83.35216568,124.2836,40.93143432
249,Harris,Harvey,2.146796904,47.22038,45.0735831
249,Harvey,Tobler,42.14615863,22.28594,19.86021863
249,Harvey,Sauer,46.29205396,18.7858,27.50625396
249,Harvey,Batty,46.54689912,72.78263,26.23573088
249,Harvey,Lynch,32.28246429,24.78536,7.49710429
249,Harvey,Snow,66.19140238,13.28726,52.90414238
249,Harvey,Harris,4.196894849,93.78281,89.58591515
249,Harvey,Golledge,64.9530254,17.78673,47.1662954
249,Golledge,Tobler,147.0284471,62.89811,84.1303371
249,Golledge,Harris,176.2022806,28.14022,148.0620606
249,Golledge,Batty,173.5694617,173.2565,0.3129617
249,Golledge,Snow,1.204134401,4.112184,2.908049599
249,Golledge,Lynch,173.9683139,174.9309,0.9625861
249,Golledge,Harvey,139.9309368,75.89369,64.0372468
249,Golledge,Sauer,76.21088344,17.65901,58.55187344
249,Snow,Tobler,63.69277617,16.67719,47.01558617
249,Snow,Harvey,119.6929579,120.1572,0.4642421
249,Snow,Lynch,79.44851915,75.34077,4.10774915
249,Snow,Sauer,0.279262352,7.374456,7.095193648
249,Snow,Harris,88.09346154,50.84371,37.24975154
249,Snow,Batty,90.64700942,117.6557,27.00869058
249,Snow,Golledge,125.8431145,127.3356,1.4924855
249,Sauer,Golledge,51.85616181,49.88364,1.97252181
249,Sauer,Tobler,2.713388186,7.133417,4.420028814
249,Sauer,Batty,6.744508622,19.39047,12.64596138
249,Sauer,Snow,89.63525726,83.38801,6.24724726
249,Sauer,Lynch,17.76205492,72.38155,54.61949508
249,Sauer,Harris,4.240040564,17.88875,13.64870944
249,Sauer,Harvey,23.09134403,80.38522,57.29387597
249,Tobler,Sauer,20.69981416,12.12758,8.57223416
249,Tobler,Harvey,147.248191,54.11773,93.130461
249,Tobler,Harris,173.2852643,57.61494,115.6703243
249,Tobler,Lynch,156.2355625,57.11694,99.1186225
249,Tobler,Batty,171.0086651,14.12573,156.8829351
249,Tobler,Golledge,67.30353066,81.61505,14.31151934
249,Tobler,Snow,38.78279809,37.61761,1.16518809
392,Batty,Tobler,37.30802198,1.032303,36.27571898
392,Batty,Golledge,51.76768154,29.18569,22.58199154
392,Batty,Lynch,47.32798389,24.3392,22.98878389
392,Batty,Sauer,30.3316951,12.84648,17.4852151
392,Batty,Harvey,93.19423766,50.17971,43.01452766
392,Batty,Harris,37.5286373,19.84208,17.6865573
392,Batty,Snow,48.19947553,22.68768,25.51179553
392,Lynch,Tobler,17.95076442,3.807144,14.14362042
392,Lynch,Batty,130.6542463,131.7487,1.0944537
392,Lynch,Golledge,3.323863738,2.831099,0.492764738
392,Lynch,Sauer,29.20903342,12.76443,16.44460342
392,Lynch,Harris,7.021704671,7.78084,0.759135329
392,Lynch,Harvey,48.19593801,42.75565,5.44028801
392,Lynch,Snow,8.968174613,8.275666,0.692508613
392,Harris,Harvey,2.146796904,10.72337,8.576573096
392,Harris,Lynch,114.5627943,123.2823,8.7195057
392,Harris,Batty,83.35216568,123.7827,40.43053432
392,Harris,Tobler,99.95984558,73.21735,26.74249558
392,Harris,Sauer,110.6574336,93.21674,17.4406936
392,Harris,Golledge,77.71082192,64.71649,12.99433192
392,Harris,Snow,84.7281122,89.7181,4.9899878
392,Harvey,Tobler,42.14615863,21.28616,20.85999863
392,Harvey,Harris,4.196894849,100.2828,96.08590515
392,Harvey,Lynch,32.28246429,25.78496,6.49750429
392,Harvey,Sauer,46.29205396,99.28281,52.99075604
392,Harvey,Batty,46.54689912,18.28647,28.26042912
392,Harvey,Golledge,64.9530254,23.7855,41.1675254
392,Harvey,Snow,66.19140238,25.78516,40.40624238
392,Golledge,Snow,1.204134401,6.038743,4.834608599
392,Golledge,Harvey,139.9309368,58.62166,81.3092768
392,Golledge,Tobler,147.0284471,147.8637,0.8352529
392,Golledge,Harris,176.2022806,6.25376,169.9485206
392,Golledge,Batty,173.5694617,159.0679,14.5015617
392,Golledge,Lynch,173.9683139,19.15532,154.8129939
392,Golledge,Sauer,76.21088344,78.89471,2.68382656
392,Snow,Tobler,63.69277617,22.6733,41.01947617
392,Snow,Batty,90.64700942,26.84866,63.79834942
392,Snow,Golledge,125.8431145,121.3381,4.5050145
392,Snow,Sauer,0.279262352,5.209963,4.930700648
392,Snow,Lynch,79.44851915,176.0897,96.64118085
392,Snow,Harris,88.09346154,88.33938,0.24591846
392,Snow,Harvey,119.6929579,86.84014,32.8528179
392,Sauer,Harvey,23.09134403,71.88506,48.79371597
392,Sauer,Golledge,51.85616181,50.387,1.46916181
392,Sauer,Snow,89.63525726,87.88672,1.74853726
392,Sauer,Tobler,2.713388186,2.933182,0.219793814
392,Sauer,Harris,4.240040564,30.88754,26.64749944
392,Sauer,Batty,6.744508622,22.39121,15.64670138
392,Sauer,Lynch,17.76205492,13.89319,3.86886492
392,Tobler,Harris,173.2852643,44.11824,129.1670243
392,Tobler,Golledge,67.30353066,70.6169,3.31336934
392,Tobler,Sauer,20.69981416,20.39004,0.30977416
392,Tobler,Batty,171.0086651,51.11639,119.8922751
392,Tobler,Snow,38.78279809,30.61982,8.16297809
392,Tobler,Lynch,156.2355625,57.11533,99.1202325
392,Tobler,Harvey,147.248191,19.12165,128.126541
401,Batty,Tobler,37.30802198,40.1821,2.87407802
401,Batty,Snow,48.19947553,62.67868,14.47920447
401,Batty,Lynch,47.32798389,39.33313,7.99485389
401,Batty,Sauer,30.3316951,3.27034,27.0613551
401,Batty,Golledge,51.76768154,66.67745,14.90976846
401,Batty,Harris,37.5286373,78.67488,41.1462427
401,Batty,Harvey,93.19423766,61.67844,31.51579766
401,Lynch,Golledge,3.323863738,65.25405,61.93018626
401,Lynch,Batty,130.6542463,127.2478,3.4064463
401,Lynch,Snow,8.968174613,40.75748,31.78930539
401,Lynch,Tobler,17.95076442,23.25962,5.30885558
401,Lynch,Sauer,29.20903342,29.25974,0.05070658
401,Lynch,Harris,7.021704671,4.305343,2.716361671
401,Lynch,Harvey,48.19593801,4.305343,43.89059501
401,Harris,Sauer,110.6574336,44.21767,66.4397636
401,Harris,Tobler,99.95984558,104.2159,4.25605442
401,Harris,Lynch,114.5627943,106.7159,7.8468943
401,Harris,Snow,84.7281122,143.782,59.0538878
401,Harris,Batty,83.35216568,75.7842,7.56796568
401,Harris,Harvey,2.146796904,103.7172,101.5704031
401,Harris,Golledge,77.71082192,148.7812,71.07037808
401,Harvey,Lynch,32.28246429,27.28516,4.99730429
401,Harvey,Snow,66.19140238,87.78259,21.59118762
401,Harvey,Tobler,42.14615863,87.78259,45.63643137
401,Harvey,Harris,4.196894849,19.28645,15.08955515
401,Harvey,Golledge,64.9530254,73.78413,8.8311046
401,Harvey,Batty,46.54689912,12.28846,34.25843912
401,Harvey,Sauer,46.29205396,32.28497,14.00708396
401,Golledge,Batty,173.5694617,99.3869,74.1825617
401,Golledge,Snow,1.204134401,93.38734,92.1832056
401,Golledge,Harvey,139.9309368,16.66346,123.2674768
401,Golledge,Sauer,76.21088344,80.89085,4.67996656
401,Golledge,Harris,176.2022806,177.0675,0.8652194
401,Golledge,Lynch,173.9683139,135.8732,38.0951139
401,Golledge,Tobler,147.0284471,167.3203,20.2918529
401,Snow,Lynch,79.44851915,85.84016,6.39164085
401,Snow,Harvey,119.6929579,79.34057,40.3523879
401,Snow,Tobler,63.69277617,54.34384,9.34893617
401,Snow,Batty,90.64700942,103.3403,12.69329058
401,Snow,Sauer,0.279262352,4.892407,4.613144648
401,Snow,Harris,88.09346154,88.83962,0.74615846
401,Snow,Golledge,125.8431145,126.8371,0.9939855
401,Sauer,Tobler,2.713388186,13.62608,10.91269181
401,Sauer,Snow,89.63525726,83.88724,5.74801726
401,Sauer,Harvey,23.09134403,11.89376,11.19758403
401,Sauer,Golledge,51.85616181,50.38762,1.46854181
401,Sauer,Batty,6.744508622,47.11868,40.37417138
401,Sauer,Lynch,17.76205492,27.39299,9.63093508
401,Sauer,Harris,4.240040564,68.38746,64.14741944
401,Tobler,Harvey,147.248191,24.12118,123.127011
401,Tobler,Snow,38.78279809,3.159325,35.62347309
401,Tobler,Lynch,156.2355625,59.61541,96.6201525
401,Tobler,Sauer,20.69981416,148.8812,128.1813858
401,Tobler,Batty,171.0086651,107.6139,63.3947651
401,Tobler,Harris,173.2852643,54.11589,119.1693743
401,Tobler,Golledge,67.30353066,88.6148,21.31126934
419,Batty,Snow,48.19947553,51.68028,3.48080447
419,Batty,Harris,37.5286373,56.67915,19.1505127
419,Batty,Tobler,37.30802198,71.82629,34.51826802
419,Batty,Sauer,30.3316951,37.83168,7.4999849
419,Batty,Golledge,51.76768154,99.67452,47.90683846
419,Batty,Lynch,47.32798389,50.32788,2.99989611
419,Batty,Harvey,93.19423766,56.17897,37.01526766
419,Lynch,Batty,130.6542463,130.2516,0.4026463
419,Lynch,Harris,7.021704671,45.25703,38.23532533
419,Lynch,Harvey,48.19593801,23.26198,24.93395801
419,Lynch,Tobler,17.95076442,117.245,99.29423558
419,Lynch,Sauer,29.20903342,64.74987,35.54083658
419,Lynch,Golledge,3.323863738,51.75662,48.43275626
419,Lynch,Snow,8.968174613,19.26184,10.29366539
419,Harris,Harvey,2.146796904,22.21975,20.0729531
419,Harris,Snow,84.7281122,53.21901,31.5091022
419,Harris,Tobler,99.95984558,147.781,47.82115442
419,Harris,Sauer,110.6574336,178.1801,67.5226664
419,Harris,Batty,83.35216568,89.78288,6.43071432
419,Harris,Lynch,114.5627943,46.7182,67.8445943
419,Harris,Golledge,77.71082192,112.783,35.07217808
419,Harvey,Harris,4.196894849,65.78285,61.58595515
419,Harvey,Snow,66.19140238,98.28291,32.09150762
419,Harvey,Tobler,42.14615863,20.78602,21.36013863
419,Harvey,Batty,46.54689912,25.21989,21.32700912
419,Harvey,Lynch,32.28246429,2.807074,29.47539029
419,Harvey,Golledge,64.9530254,28.2856,36.6674254
419,Harvey,Sauer,46.29205396,93.28319,46.99113604
419,Golledge,Sauer,76.21088344,76.89819,0.68730656
419,Golledge,Snow,1.204134401,2.498262,1.294127599
419,Golledge,Lynch,173.9683139,146.3667,27.6016139
419,Golledge,Harris,176.2022806,150.3621,25.8401806
