participant,duration_sec,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
249,4797,Harvey House,Golledegle Hall,Snow Church,Lynx Station,Sauer Center,Harris Hall,Tobler Museum,Batty House
392,9875,Harvey House,Golledge Hall,Snow Church,Lynch Station,Sauer Center,Harris Hall,Tobler Museum,Harvey House
401,4718,Harvey House,Golledge Hall,Snow Church,Lynch Station,Saur Center,Harris Hall,Tobler Museum ,Batty House
419,10667,Harvey House,Golledge Hall,Snow Church,Lynch Station,Sauer Center,Haris Hall,Tobler Museum,Batty House
441,4247,Harvey House,Harver Hall,Snow Church,C Station,Sauer Center,Hall,Tobler Museum,Batty House
523,12582,(something) House,Golledge Hall,Snow Church,Lynch Station,Sauer Center,Harris Hall,Toboler Museum,Batty house
560,6249,Harvey House,Glogus Hall,Snow Church,Lynch Station,Sauer Center,Harvey House,Hab Museum,Mill
584,3805,Harvy House,Gollage Hall,Snow Church,Station,Suace Center,Harris Hall,Tobler Museum,Batty House
607,3103,harvey house,godger hall,snow  church,lynch station,sauer building,hilton hall,tobler museum,batty house
620,3357,Harvey House,Harris Hall,Snow Church,Lastor Station,Sauer Center,Harris Hall,Tobbler mueseum,Batty House
687,13768,harvey house,golledge hall,snow church,lynch station,sauer center,harris hall,tobbler museum,batty house
748,8294,Harvy House,Golledge Hall,Snow Church,Lynch Station,Sauer Center,Harris Hall,Tobler museum,Batty House
775,4844,harvey house,Harris hall,snow church,Lynch station,sauer center,Gollage hall,Souer center,batty house
778,11967,harvey house,golledge hall,snow church,lynch station,center,harris hall,tobler museam ,batty house
819,11499,Harvey House,Golledge Hall,Snow Church,Lynch Station,Arture Center,Harris Hall,Tobler Museum,Batty House
841,6575,Harvey House,Geolledge Hall,Snow Church,Station,Sauer Hall,H. Hall,Douer Museum,Batty House
860,10605,harvey house,Goldege hall,snow church,lynch station,sauer center,harvey hall,tobler mueseum,batty house
1000,1336,harvey house,golleden hall,snow church ,lynnch station,suaer center ,harris hall,tobbler mueseum,batty house 
3222,231,harveys house,college hall,snow church,lynch station,suaner hall,something hallway,museum,bettys house
3229,2787,Harvey House,Golliger Hall,Snow Church,Lynch Station,Sou Center,Harris Hall,Tobin Museum,Batty House
3355,3734,Harvey House,Golledge Center,Snow Church,Lynch Station,Sauer Center,Harris Hall,Tobler Museum,Batty House
3356,9547,harvey house,golledge house,snow church,lynch station,saur center,harris hall,tobler museum,harvey house
3480,2439,Harvey House,Golledge Hall,Snow Church,Lynch Station,Sauer Center,Harris Hall,Tobler Museum,Batty House
3643,3039,harvey house,golledge hall,snow church,lynch station,soeur hall,harris building,tober mueseum,patty house
3675,8308,Batty House,Golledge Hall,Snow Church,lynch station,Sauer Center,Harris Hall,Tobler Museum,Harvey Home
4003,9326,betty's house,something hall,snow church,carver station,carver research center,haris hall,museum,haris House
4085,4388, harvey  house,hall,snow church,lynch station ,sauer center,h hall,museum,battys house
4118,5323,harvey house,golledge,snow church,Lynch station,sauer center,Harris hall,tobler museum ,batty house
4290,3172,Harvey House,Golledge Hall,Snow Church,Lynch Station,Sauer Hall,Harris Hall,Tobler Museum,Betty House
4293,3748,Harvey House,Golledge hall,Snow Church,Lynch Station,sauer station,harris hall,Tobler Museum,Batty House
4822,6035,harvey house,harris hall,snow church,lynch station,sluer ,kopler hall,tobler muesam,batty house
4908,10383,harvey house,gollege hall,snow church,lynch station,souer hall,harris hall,tody museum,batty house
4952,8355,harry house,gollege hall,snow church,lynch station,harry hall,harvey hall,sauer center,batty house
5139,10572,harvy house,golledge hall,snow church,liench station,suage center,harris hall,tuoge museam,batty house
5140,3082,harris house,golledge college,snow church,lynch station,souer tower,?,tombner musuem,batty house
5663,3073,dr lobo's,harris hall,snow church,lynch station,sauer building,golledge hall,something museum ,harvey hall
5839,203,harvy house,gelloge hall,snow church,lynch staion,suarer center,harris hall,tober musem ,batty house
5867,477,harvy house,harris hall,snow church,lynch station,solar museum,grouge hall,sincow museum,batty house
5869,6019,Harvey House,Harris Hall,Snow Church,Lynch Station,Sauer Center,Golledge ,colidge museum,Batty House
AJ,6775,Batty House,Golledge Hall,Snow Church,Lynch Station,Sauer Center,Harris Hall,Tobler Museum,Batty House
AT,8597,Henry House,Gouledge Hall,Snow Church,Lynch Station,Sauer Center,Henry Hall,Tobler Musuem,Batty House
AU,12037,Harvey House,Golledge Hall,Snow Church,Lynch Station,Saur Center,Harris Hall,Tobler Musuem,Batty House
AZ,2849,Harvey House,Golledge Hall,Snow Church,Lynch Station,Sauer Center,Harrison Hall,Tolber Museum,Batty house
BB,2381,Batty House,Gollege Hall,Snow Church,Lynch Station,Saurtion Hall,Harris Hall,Meusum,Harvey House
BF,3174,Harvey House,Golledge Hall,Snow Church,Lynch Station,Sauer Center,Harris Hall,Tober Museum,Batty House
BX,3776,Harvey House,Golledge Hall,Snow Church,Lynch Station,Sauer Center,Harris Hall,Tobler Museum,Batty House
CA,3883,Harald House,Gollege Hall,Snow Church,Lynch Station,Scully Center,Harvey Hall,Forbs meusam,Betty House
CR,3436,Harvey House,Gollredge Hall,Snow Church,Lyson Station,Sauer Center,Harris Hall,Tolger Museum,Batty House
CY,3900,Harvey House,Golledge Hall,Snow Church,Lynch Station,Sauer Center,Harris Hall,Tobler Museum,Batty House
